model,target,RMSE,MAE,R2,CV_RMSE
"PLS, single target",E,36.9165,32.1806,0.3903,23.2319
"PLS2, three targets fitted jointly",E,29.6014,27.621,0.608,18.6285
"PLS, single target",TS,1.6455,1.3878,0.2484,24.8679
"PLS2, three targets fitted jointly",TS,1.2292,1.1458,0.5806,18.5759
"PLS, single target",EL,12.2533,9.837,-0.6033,22.0935
"PLS2, three targets fitted jointly",EL,8.3871,6.581,0.2488,15.1225
